"trip_id","arrival_time","departure_time","stop_id","stop_sequence","pickup_type","drop_off_type"
"GO103_25_6718","10:15:00","10:15:00","36","12","0","0"
"GO103_25_6718","10:19:00","10:19:00","84","13","0","0"
"GO103_25_6719","09:44:00","09:44:00","84","1","0","0"
"GO103_25_6719","09:48:00","09:48:00","36","2","0","0"
"GO103_25_6719","09:51:00","09:51:00","68","3","0","0"
"GO103_25_6719","09:53:00","09:53:00","149","4","0","0"
"GO103_25_6719","09:56:00","09:56:00","195","5","0","0"
"GO103_25_6719","09:59:00","09:59:00","63","6","0","0"
"GO103_25_6719","10:01:00","10:01:00","23","7","0","0"
"GO103_25_6719","10:03:00","10:03:00","359","8","0","0"
"GO103_25_6719","10:06:00","10:06:00","175","9","0","0"
"GO103_25_6719","10:09:00","10:09:00","89","10","0","0"
"GO103_25_6719","10:11:00","10:11:00","86","11","1","1"
"GO103_25_6719","10:16:00","10:18:00","102","12","0","0"
"GO103_25_6719","10:38:00","10:38:00","349","13","0","0"
"GO103_25_6720","10:25:00","10:25:00","349","1","0","0"
"GO103_25_6720","10:46:00","10:48:00","102","2","0","0"
"GO103_25_6720","10:52:00","10:52:00","86","3","1","1"
"GO103_25_6720","10:54:00","10:54:00","89","4","0","0"
"GO103_25_6720","10:57:00","10:57:00","175","5","0","0"
"GO103_25_6720","10:59:00","10:59:00","359","6","0","0"
"GO103_25_6720","11:01:00","11:01:00","23","7","0","0"
"GO103_25_6720","11:03:00","11:03:00","63","8","0","0"
"GO103_25_6720","11:06:00","11:06:00","195","9","0","0"
"GO103_25_6720","11:09:00","11:09:00","149","10","0","0"
"GO103_25_6720","11:12:00","11:12:00","68","11","0","0"
"GO103_25_6720","11:15:00","11:15:00","36","12","0","0"
"GO103_25_6720","11:19:00","11:19:00","84","13","0","0"
"GO103_25_6721","10:44:00","10:44:00","84","1","0","0"
"GO103_25_6721","10:48:00","10:48:00","36","2","0","0"
"GO103_25_6721","10:51:00","10:51:00","68","3","0","0"
"GO103_25_6721","10:53:00","10:53:00","149","4","0","0"
"GO103_25_6721","10:56:00","10:56:00","195","5","0","0"
"GO103_25_6721","10:59:00","10:59:00","63","6","0","0"
"GO103_25_6721","11:01:00","11:01:00","23","7","0","0"
"GO103_25_6721","11:03:00","11:03:00","359","8","0","0"
"GO103_25_6721","11:06:00","11:06:00","175","9","0","0"
"GO103_25_6721","11:09:00","11:09:00","89","10","0","0"
"GO103_25_6721","11:11:00","11:11:00","86","11","1","1"
"GO103_25_6721","11:16:00","11:18:00","102","12","0","0"
"GO103_25_6721","11:38:00","11:38:00","349","13","0","0"
"GO103_25_6722","11:25:00","11:25:00","349","1","0","0"
"GO103_25_6722","11:46:00","11:48:00","102","2","0","0"
"GO103_25_6722","11:52:00","11:52:00","86","3","1","1"
"GO103_25_6722","11:54:00","11:54:00","89","4","0","0"
"GO103_25_6722","11:57:00","11:57:00","175","5","0","0"
"GO103_25_6722","11:59:00","11:59:00","359","6","0","0"
"GO103_25_6722","12:01:00","12:01:00","23","7","0","0"
"GO103_25_6722","12:03:00","12:03:00","63","8","0","0"
"GO103_25_6722","12:06:00","12:06:00","195","9","0","0"
"GO103_25_6722","12:09:00","12:09:00","149","10","0","0"
"GO103_25_6722","12:12:00","12:12:00","68","11","0","0"
"GO103_25_6722","12:15:00","12:15:00","36","12","0","0"
"GO103_25_6722","12:19:00","12:19:00","84","13","0","0"
"GO103_25_6723","11:44:00","11:44:00","84","1","0","0"
"GO103_25_6723","11:48:00","11:48:00","36","2","0","0"
"GO103_25_6723","11:51:00","11:51:00","68","3","0","0"
"GO103_25_6723","11:53:00","11:53:00","149","4","0","0"
"GO103_25_6723","11:56:00","11:56:00","195","5","0","0"
"GO103_25_6723","11:59:00","11:59:00","63","6","0","0"
"GO103_25_6723","12:01:00","12:01:00","23","7","0","0"
"GO103_25_6723","12:03:00","12:03:00","359","8","0","0"
"GO103_25_6723","12:06:00","12:06:00","175","9","0","0"
"GO103_25_6723","12:09:00","12:09:00","89","10","0","0"
"GO103_25_6723","12:11:00","12:11:00","86","11","1","1"
"GO103_25_6723","12:16:00","12:18:00","102","12","0","0"
"GO103_25_6723","12:38:00","12:38:00","349","13","0","0"
"GO103_25_6725","12:44:00","12:44:00","84","1","0","0"
"GO103_25_6725","12:48:00","12:48:00","36","2","0","0"
"GO103_25_6725","12:51:00","12:51:00","68","3","0","0"
"GO103_25_6725","12:53:00","12:53:00","149","4","0","0"
"GO103_25_6725","12:56:00","12:56:00","195","5","0","0"
"GO103_25_6725","12:59:00","12:59:00","63","6","0","0"
"GO103_25_6725","13:01:00","13:01:00","23","7","0","0"
"GO103_25_6725","13:03:00","13:03:00","359","8","0","0"
"GO103_25_6725","13:06:00","13:06:00","175","9","0","0"
"GO103_25_6725","13:09:00","13:09:00","89","10","0","0"
"GO103_25_6725","13:11:00","13:11:00","86","11","1","1"
"GO103_25_6725","13:16:00","13:18:00","102","12","0","0"
"GO103_25_6725","13:38:00","13:38:00","349","13","0","0"
"GO103_25_6750","12:25:00","12:25:00","349","1","0","0"
"GO103_25_6750","12:46:00","12:48:00","102","2","0","0"
"GO103_25_6750","12:52:00","12:52:00","86","3","1","1"
"GO103_25_6750","12:54:00","12:54:00","89","4","0","0"
"GO103_25_6750","12:57:00","12:57:00","175","5","0","0"
"GO103_25_6750","12:59:00","12:59:00","359","6","0","0"
"GO103_25_6750","13:01:00","13:01:00","23","7","0","0"
"GO103_25_6750","13:03:00","13:03:00","63","8","0","0"
"GO103_25_6750","13:06:00","13:06:00","195","9","0","0"
"GO103_25_6750","13:09:00","13:09:00","149","10","0","0"
"GO103_25_6750","13:12:00","13:12:00","68","11","0","0"
"GO103_25_6750","13:15:00","13:15:00","36","12","0","0"
"GO103_25_6750","13:19:00","13:19:00","84","13","0","0"
"GO103_25_6750_2","12:27:00","12:27:00","349","1","0","0"
"GO103_25_6750_2","12:49:00","12:51:00","102","2","0","0"
"GO103_25_6750_2","12:55:00","12:55:00","86","3","1","1"
"GO103_25_6750_2","12:57:00","12:57:00","89","4","0","0"
"GO103_25_6750_2","13:00:00","13:00:00","175","5","0","0"
"GO103_25_6750_2","13:02:00","13:02:00","359","6","0","0"
"GO103_25_6750_2","13:04:00","13:04:00","23","7","0","0"
"GO103_25_6750_2","13:06:00","13:06:00","63","8","0","0"
"GO103_25_6750_2","13:09:00","13:09:00","195","9","0","0"
"GO103_25_6750_2","13:12:00","13:12:00","149","10","0","0"
"GO103_25_6750_2","13:15:00","13:15:00","68","11","0","0"
"GO103_25_6750_2","13:18:00","13:18:00","36","12","0","0"
"GO103_25_6750_2","13:22:00","13:22:00","84","13","0","0"
"GO103_25_6751","13:44:00","13:44:00","84","1","0","0"
"GO103_25_6751","13:48:00","13:48:00","36","2","0","0"
"GO103_25_6751","13:51:00","13:51:00","68","3","0","0"
"GO103_25_6751","13:53:00","13:53:00","149","4","0","0"
"GO103_25_6751","13:56:00","13:56:00","195","5","0","0"
"GO103_25_6751","13:59:00","13:59:00","63","6","0","0"
"GO103_25_6751","14:01:00","14:01:00","23","7","0","0"
"GO103_25_6751","14:03:00","14:03:00","359","8","0","0"
"GO103_25_6751","14:06:00","14:06:00","175","9","0","0"
"GO103_25_6751","14:09:00","14:09:00","89","10","0","0"
"GO103_25_6751","14:11:00","14:11:00","86","11","1","1"
"GO103_25_6751","14:16:00","14:18:00","102","12","0","0"
"GO103_25_6751","14:38:00","14:38:00","349","13","0","0"
"GO103_25_6752","13:25:00","13:25:00","349","1","0","0"
"GO103_25_6752","13:46:00","13:48:00","102","2","0","0"
"GO103_25_6752","13:52:00","13:52:00","86","3","1","1"
"GO103_25_6752","13:54:00","13:54:00","89","4","0","0"
"GO103_25_6752","13:57:00","13:57:00","175","5","0","0"
"GO103_25_6752","13:59:00","13:59:00","359","6","0","0"
"GO103_25_6752","14:01:00","14:01:00","23","7","0","0"
